id,n_samples,prop_interp_psl,prop_interp_psr,prop_interp_xpl,prop_interp_ypl,prop_interp_xpr,prop_interp_ypr,prop_interp_any,prop_na_psl,prop_na_psr,prop_na_xpl,prop_na_ypl,prop_na_xpr,prop_na_ypr,prop_na_any
09_003_2025_03_13_19_17,313701,0.10119508704148218,0.07646134376364755,0.10119508704148218,0.10119508704148218,0.07646134376364755,0.07646134376364755,0.1209208768859519,0.10119508704148218,0.07646134376364755,0.10119508704148218,0.10119508704148218,0.07646134376364755,0.07646134376364755,0.1209208768859519
07_2025_03_12_11_46,375720,0.06550622804215905,0.05866602789311189,0.06550622804215905,0.06550622804215905,0.05866602789311189,0.05866602789311189,0.06617960183115086,0.06550622804215905,0.05866602789311189,0.06550622804215905,0.06550622804215905,0.05866602789311189,0.05866602789311189,0.06617960183115086
104_002_2025_11_26_12_17,145266,0.06439910233640356,0.07658364655184283,0.06439910233640356,0.06439910233640356,0.07658364655184283,0.07658364655184283,0.07671444109426845,0.06439910233640356,0.07658364655184283,0.06439910233640356,0.06439910233640356,0.07658364655184283,0.07658364655184283,0.07671444109426845
103_001_2025_11_24_14_09,145225,0.11841625064555,0.12020657600275435,0.11841625064555,0.11841625064555,0.12020657600275435,0.12020657600275435,0.12351179204682389,0.11841625064555,0.12020657600275435,0.11841625064555,0.11841625064555,0.12020657600275435,0.12020657600275435,0.12351179204682389
08_003_2025_03_12_17_46,325840,0.15536766511171127,0.22327829609624356,0.15536766511171127,0.15536766511171127,0.22327829609624356,0.22327829609624356,0.2750214829364105,0.15536766511171127,0.22327829609624356,0.15536766511171127,0.15536766511171127,0.22327829609624356,0.22327829609624356,0.2750214829364105
04_2025_03_05_11_19,508414,0.08363656390264627,0.08639022528883941,0.08363656390264627,0.08363656390264627,0.08639022528883941,0.08639022528883941,0.09244631343747418,0.08363656390264627,0.08639022528883941,0.08363656390264627,0.08363656390264627,0.08639022528883941,0.08639022528883941,0.09244631343747418
07_001_2025_03_12_11_25,508518,0.03140695117970259,0.032506223968473094,0.03140695117970259,0.03140695117970259,0.032506223968473094,0.032506223968473094,0.034771630502755065,0.03140695117970259,0.032506223968473094,0.03140695117970259,0.03140695117970259,0.032506223968473094,0.032506223968473094,0.034771630502755065
051_002_2025_08_21_17_45,508318,0.09158440189015538,0.1032857384550616,0.09158440189015538,0.09158440189015538,0.1032857384550616,0.1032857384550616,0.10482808006011984,0.09158440189015538,0.1032857384550616,0.09158440189015538,0.09158440189015538,0.1032857384550616,0.1032857384550616,0.10482808006011984
054_001_2025_08_22_16_53,508352,0.6017267562633766,0.6012585767342314,0.6017267562633766,0.6017267562633766,0.6012585767342314,0.6012585767342314,0.630321116077049,0.6017267562633766,0.6012585767342314,0.6017267562633766,0.6017267562633766,0.6012585767342314,0.6012585767342314,0.630321116077049
100_003_2025_11_19_17_07,319208,0.07812460840580436,0.07030525550738077,0.07812460840580436,0.07812460840580436,0.07030525550738077,0.07030525550738077,0.07873549535099371,0.07812460840580436,0.07030525550738077,0.07812460840580436,0.07812460840580436,0.07030525550738077,0.07030525550738077,0.07873549535099371
08_002_2025_03_12_17_35,508578,0.5952813531061115,0.5933229514450095,0.5952813531061115,0.5952813531061115,0.5933229514450095,0.5933229514450095,0.6258135428587158,0.5952813531061115,0.5933229514450095,0.5952813531061115,0.5952813531061115,0.5933229514450095,0.5933229514450095,0.6258135428587158
102_003_2025_11_24_12_38,325801,0.13740289317712345,0.132053001678939,0.13740289317712345,0.13740289317712345,0.132053001678939,0.132053001678939,0.13791854536971956,0.13740289317712345,0.132053001678939,0.13740289317712345,0.13740289317712345,0.132053001678939,0.132053001678939,0.13791854536971956
101_003_2025_11_24_10_37,384857,0.10964851880048954,0.07031962521144217,0.10964851880048954,0.10964851880048954,0.07031962521144217,0.07031962521144217,0.11094250591778244,0.10964851880048954,0.07031962521144217,0.10964851880048954,0.10964851880048954,0.07031962521144217,0.07031962521144217,0.11094250591778244
049_003_2025_07_17_16_10,375639,0.15169351425171507,0.17819502234858467,0.15169351425171507,0.15169351425171507,0.17819502234858467,0.17819502234858467,0.1817356557758912,0.15169351425171507,0.17819502234858467,0.15169351425171507,0.15169351425171507,0.17819502234858467,0.17819502234858467,0.1817356557758912
09_001_2025_03_13_19_00,508546,0.06827897574654014,0.04753552284355791,0.06827897574654014,0.06827897574654014,0.04753552284355791,0.04753552284355791,0.06945487723824394,0.06827897574654014,0.04753552284355791,0.06827897574654014,0.06827897574654014,0.04753552284355791,0.04753552284355791,0.06945487723824394
