id,n_samples,prop_interp_psl,prop_interp_psr,prop_interp_xpl,prop_interp_ypl,prop_interp_xpr,prop_interp_ypr,prop_interp_any,prop_na_psl,prop_na_psr,prop_na_xpl,prop_na_ypl,prop_na_xpr,prop_na_ypr,prop_na_any
104_001,290680,0.0674246594192927,0.07752167331773772,0.0674246594192927,0.0674246594192927,0.07752167331773772,0.07752167331773772,0.07752167331773772,0.0674246594192927,0.07752167331773772,0.0674246594192927,0.0674246594192927,0.07752167331773772,0.07752167331773772,0.07752167331773772
10_001_2025_03_14_11_15,298372,0.3367239553309292,0.355626533320821,0.3367239553309292,0.3367239553309292,0.355626533320821,0.355626533320821,0.39047564784899386,0.3367239553309292,0.355626533320821,0.3367239553309292,0.3367239553309292,0.355626533320821,0.355626533320821,0.39047564784899386
084_001,295643,0.10194728101121961,0.12637200948441193,0.10194728101121961,0.10194728101121961,0.12637200948441193,0.12637200948441193,0.1265952517056044,0.10194728101121961,0.12637200948441193,0.10194728101121961,0.10194728101121961,0.12637200948441193,0.12637200948441193,0.1265952517056044
01_2025_02_14_16_04,293944,0.02848161554581825,0.02884903246876956,0.02848161554581825,0.02848161554581825,0.02884903246876956,0.02884903246876956,0.030233649946928665,0.02848161554581825,0.02884903246876956,0.02848161554581825,0.02848161554581825,0.02884903246876956,0.02884903246876956,0.030233649946928665
12_001_2025_03_26_18_07,292711,0.0471830576917164,0.036196111522969754,0.0471830576917164,0.0471830576917164,0.036196111522969754,0.036196111522969754,0.04727871518323534,0.0471830576917164,0.036196111522969754,0.0471830576917164,0.0471830576917164,0.036196111522969754,0.036196111522969754,0.04727871518323534
108_001,291602,0.05226987469221747,0.04583644830968237,0.05226987469221747,0.05226987469221747,0.04583644830968237,0.04583644830968237,0.0542040178050905,0.05226987469221747,0.04583644830968237,0.05226987469221747,0.05226987469221747,0.04583644830968237,0.04583644830968237,0.0542040178050905
04_2025_03_05_11_55,295304,0.03936959878633544,0.031174653915964565,0.03936959878633544,0.03936959878633544,0.031174653915964565,0.031174653915964565,0.046748435510524745,0.03936959878633544,0.031174653915964565,0.03936959878633544,0.03936959878633544,0.031174653915964565,0.031174653915964565,0.046748435510524745
105_001,298662,0.0675613235028226,0.22711962017263662,0.0675613235028226,0.0675613235028226,0.22711962017263662,0.22711962017263662,0.22892098760471705,0.0675613235028226,0.22711962017263662,0.0675613235028226,0.0675613235028226,0.22711962017263662,0.22711962017263662,0.22892098760471705
109_001,293291,0.08069460024344423,0.08439399777013273,0.08069460024344423,0.08069460024344423,0.08439399777013273,0.08439399777013273,0.08710461623438837,0.08069460024344423,0.08439399777013273,0.08069460024344423,0.08069460024344423,0.08439399777013273,0.08439399777013273,0.08710461623438837
110_001,296016,0.15254243013891142,0.18252729582184746,0.15254243013891142,0.15254243013891142,0.18252729582184746,0.18252729582184746,0.1865743743581428,0.15254243013891142,0.18252729582184746,0.15254243013891142,0.15254243013891142,0.18252729582184746,0.18252729582184746,0.1865743743581428
14_001_2025_03_31_16_34,290030,0.04881563976140399,0.04511257456125228,0.04881563976140399,0.04881563976140399,0.04511257456125228,0.04511257456125228,0.05049477640244113,0.04881563976140399,0.04511257456125228,0.04881563976140399,0.04881563976140399,0.04511257456125228,0.04511257456125228,0.05049477640244113
02_2025_02_26_18_12,288981,0.12824372536602752,0.16339136483021374,0.12824372536602752,0.12824372536602752,0.16339136483021374,0.16339136483021374,0.16670992210560556,0.12824372536602752,0.16339136483021374,0.12824372536602752,0.12824372536602752,0.16339136483021374,0.16339136483021374,0.16670992210560556
11_001_2025_03_24_15_24,293685,0.12138515756678074,0.097168735209493165,0.12138515756678074,0.12138515756678074,0.097168735209493165,0.097168735209493165,0.12318300219623066,0.12138515756678074,0.097168735209493165,0.12138515756678074,0.12138515756678074,0.097168735209493165,0.097168735209493165,0.12318300219623066
051_001,297717,0.18490714336097702,0.17093078326061326,0.18490714336097702,0.18490714336097702,0.17093078326061326,0.17093078326061326,0.18752036329803135,0.18490714336097702,0.17093078326061326,0.18490714336097702,0.18490714336097702,0.17093078326061326,0.17093078326061326,0.18752036329803135
113_001,295432,0.306215982019551,0.36985499201169814,0.306215982019551,0.306215982019551,0.36985499201169814,0.36985499201169814,0.4051524547103902,0.306215982019551,0.36985499201169814,0.306215982019551,0.306215982019551,0.36985499201169814,0.36985499201169814,0.4051524547103902
100_001,297185,0.022915019264094755,0.0215387721452967,0.022915019264094755,0.022915019264094755,0.0215387721452967,0.0215387721452967,0.024032168514561636,0.022915019264094755,0.0215387721452967,0.022915019264094755,0.022915019264094755,0.0215387721452967,0.0215387721452967,0.024032168514561636
049_001,296948,0.17624971375459678,0.12350310492072686,0.17624971375459678,0.17624971375459678,0.12350310492072686,0.12350310492072686,0.18044910219971175,0.17624971375459678,0.12350310492072686,0.17624971375459678,0.17624971375459678,0.12350310492072686,0.12350310492072686,0.18044910219971175
107_001,299691,0.14517619815076196,0.14389487839140983,0.14517619815076196,0.14517619815076196,0.14389487839140983,0.14389487839140983,0.14918365916894402,0.14517619815076196,0.14389487839140983,0.14517619815076196,0.14517619815076196,0.14389487839140983,0.14389487839140983,0.14918365916894402
13_001_2025_03_31_14_26,295234,0.07735220198215653,0.074920232764518993,0.07735220198215653,0.07735220198215653,0.074920232764518993,0.074920232764518993,0.08519343977997114,0.07735220198215653,0.074920232764518993,0.07735220198215653,0.07735220198215653,0.074920232764518993,0.074920232764518993,0.08519343977997114
08_001_2025_03_12_17_54,290107,0.007559279851916707,0.009379297983157939,0.007559279851916707,0.007559279851916707,0.009379297983157939,0.009379297983157939,0.00952407215268849,0.007559279851916707,0.009379297983157939,0.007559279851916707,0.007559279851916707,0.009379297983157939,0.009379297983157939,0.00952407215268849
101_001,301667,0.3856305131154551,0.17064511530926485,0.3856305131154551,0.3856305131154551,0.17064511530926485,0.17064511530926485,0.39624818094123654,0.3856305131154551,0.17064511530926485,0.3856305131154551,0.3856305131154551,0.17064511530926485,0.17064511530926485,0.39624818094123654
112_001,294952,0.5819523176652472,0.5062755973853372,0.5819523176652472,0.5819523176652472,0.5062755973853372,0.5062755973853372,0.6691393853915213,0.5819523176652472,0.5062755973853372,0.5819523176652472,0.5819523176652472,0.5062755973853372,0.5062755973853372,0.6691393853915213
17_001_2025_04_07_15_25,286277,0.12070127883134167,0.13465629442812382,0.12070127883134167,0.12070127883134167,0.13465629442812382,0.13465629442812382,0.1526773020536054,0.12070127883134167,0.13465629442812382,0.12070127883134167,0.12070127883134167,0.13465629442812382,0.13465629442812382,0.1526773020536054
24_001_2025_04_18_18_51,289609,0.03088647106961455,0.03251970760577192,0.03088647106961455,0.03088647106961455,0.03251970760577192,0.03251970760577192,0.0348711538660746,0.03088647106961455,0.03251970760577192,0.03088647106961455,0.03088647106961455,0.03251970760577192,0.03251970760577192,0.0348711538660746
06_2025_03_07_11_39,299390,0.13853836133471392,0.13751962323390896,0.13853836133471392,0.13853836133471392,0.13751962323390896,0.13751962323390896,0.1437689969604863,0.13853836133471392,0.13751962323390896,0.13853836133471392,0.13853836133471392,0.13751962323390896,0.13751962323390896,0.1437689969604863
15_001_2025_04_02_11_42,289139,0.07271589097285389,0.07598075666029142,0.07271589097285389,0.07271589097285389,0.07598075666029142,0.07598075666029142,0.0781561809371963,0.07271589097285389,0.07598075666029142,0.07271589097285389,0.07271589097285389,0.07598075666029142,0.07598075666029142,0.0781561809371963
20_001_2025_04_09_18_34,291711,0.13501376362221515,0.12162037084648848,0.13501376362221515,0.13501376362221515,0.12162037084648848,0.12162037084648848,0.13619644099811115,0.13501376362221515,0.12162037084648848,0.13501376362221515,0.13501376362221515,0.12162037084648848,0.12162037084648848,0.13619644099811115
19_001_2025_04_09_15_41,290671,0.2659019991674436,0.19516566840173255,0.2659019991674436,0.2659019991674436,0.19516566840173255,0.19516566840173255,0.2725658906461257,0.2659019991674436,0.19516566840173255,0.2659019991674436,0.2659019991674436,0.19516566840173255,0.19516566840173255,0.2725658906461257
18_001_2025_04_08_12_25,291503,0.18053673547099,0.2862371913839652,0.18053673547099,0.18053673547099,0.2862371913839652,0.2862371913839652,0.2919592594244313,0.18053673547099,0.2862371913839652,0.18053673547099,0.18053673547099,0.2862371913839652,0.2862371913839652,0.2919592594244313
21_001_2025_04_11_11_55,291717,0.16565369861886692,0.15818070253019192,0.16565369861886692,0.16565369861886692,0.15818070253019192,0.15818070253019192,0.16821097159233092,0.16565369861886692,0.15818070253019192,0.16565369861886692,0.16565369861886692,0.15818070253019192,0.15818070253019192,0.16821097159233092
23_001_2025_04_15_11_12,290736,0.27163130812833636,0.23664424082328986,0.27163130812833636,0.27163130812833636,0.23664424082328986,0.23664424082328986,0.2943047988553189,0.27163130812833636,0.23664424082328986,0.27163130812833636,0.27163130812833636,0.23664424082328986,0.23664424082328986,0.2943047988553189
26_001_2025_04_22_15_39,288812,0.021197180172569007,0.021841197734166172,0.021197180172569007,0.021197180172569007,0.021841197734166172,0.021841197734166172,0.022883398196750827,0.021197180172569007,0.021841197734166172,0.021197180172569007,0.021197180172569007,0.021841197734166172,0.021841197734166172,0.022883398196750827
27_001_2025_04_28_13_28,284640,0.0544406970207982,0.046065205171444634,0.0544406970207982,0.0544406970207982,0.046065205171444634,0.046065205171444634,0.05499929735806633,0.0544406970207982,0.046065205171444634,0.0544406970207982,0.0544406970207982,0.046065205171444634,0.046065205171444634,0.05499929735806633
25_001_2025_04_21_11_18,292653,0.594314768685098,0.430239908697331,0.594314768685098,0.594314768685098,0.430239908697331,0.430239908697331,0.6084543811271369,0.594314768685098,0.430239908697331,0.594314768685098,0.594314768685098,0.430239908697331,0.430239908697331,0.6084543811271369
29_001_2025_04_28_18_32,291245,0.06428608216450067,0.06721832134457244,0.06428608216450067,0.06428608216450067,0.06721832134457244,0.06721832134457244,0.07141753506497965,0.06428608216450067,0.06721832134457244,0.06428608216450067,0.06428608216450067,0.06721832134457244,0.06721832134457244,0.07141753506497965
111_001,296226,0.09914052108862828,0.09223700823020262,0.09914052108862828,0.09914052108862828,0.09223700823020262,0.09223700823020262,0.09963001222039929,0.09914052108862828,0.09223700823020262,0.09914052108862828,0.09914052108862828,0.09223700823020262,0.09223700823020262,0.09963001222039929
35_001,289332,0.03942529689076908,0.03621790883828958,0.03942529689076908,0.03942529689076908,0.03621790883828958,0.03621790883828958,0.044554352785035875,0.03942529689076908,0.03621790883828958,0.03942529689076908,0.03942529689076908,0.03621790883828958,0.03621790883828958,0.044554352785035875
32_001,286192,0.06652177559121149,0.04413470677028009,0.06652177559121149,0.06652177559121149,0.04413470677028009,0.04413470677028009,0.06692709789232404,0.06652177559121149,0.04413470677028009,0.06652177559121149,0.06652177559121149,0.04413470677028009,0.04413470677028009,0.06692709789232404
34_001,290467,0.07309608320394399,0.16514784812044053,0.07309608320394399,0.07309608320394399,0.16514784812044053,0.16514784812044053,0.17170969507723768,0.07309608320394399,0.16514784812044053,0.07309608320394399,0.07309608320394399,0.16514784812044053,0.16514784812044053,0.17170969507723768
114_001,294775,0.06636926469341023,0.06597913662963277,0.06636926469341023,0.06636926469341023,0.06597913662963277,0.06597913662963277,0.0715427020608939,0.06636926469341023,0.06597913662963277,0.06636926469341023,0.06636926469341023,0.06597913662963277,0.06597913662963277,0.0715427020608939
28_001_2025_04_28_16_13,293165,0.42269029386181844,0.43961250490338205,0.42269029386181844,0.42269029386181844,0.43961250490338205,0.43961250490338205,0.5427933075230672,0.42269029386181844,0.43961250490338205,0.42269029386181844,0.42269029386181844,0.43961250490338205,0.43961250490338205,0.5427933075230672
42_001,300044,0.07680206902987562,0.06899321432856514,0.07680206902987562,0.07680206902987562,0.06899321432856514,0.06899321432856514,0.07744864086600632,0.07680206902987562,0.06899321432856514,0.07680206902987562,0.07680206902987562,0.06899321432856514,0.06899321432856514,0.07744864086600632
33_001,293544,0.13093096775951815,0.13064140299239638,0.13093096775951815,0.13093096775951815,0.13064140299239638,0.13064140299239638,0.1337618891886736,0.13093096775951815,0.13064140299239638,0.13093096775951815,0.13093096775951815,0.13064140299239638,0.13064140299239638,0.1337618891886736
41_001,302007,0.03354889125086505,0.039144788034714426,0.03354889125086505,0.03354889125086505,0.039144788034714426,0.039144788034714426,0.04457181456058965,0.03354889125086505,0.039144788034714426,0.03354889125086505,0.03354889125086505,0.039144788034714426,0.039144788034714426,0.04457181456058965
45_001,297487,0.2532345951251651,0.2548850874155845,0.2532345951251651,0.2532345951251651,0.2548850874155845,0.2548850874155845,0.25957436795557454,0.2532345951251651,0.2548850874155845,0.2532345951251651,0.2532345951251651,0.2548850874155845,0.2548850874155845,0.25957436795557454
55_001,295871,0.02051907757096843,0.13547796167924533,0.02051907757096843,0.02051907757096843,0.13547796167924533,0.13547796167924533,0.13864826224942628,0.02051907757096843,0.13547796167924533,0.02051907757096843,0.02051907757096843,0.13547796167924533,0.13547796167924533,0.13864826224942628
30_001,292047,0.10855786911010899,0.08855766366372536,0.10855786911010899,0.10855786911010899,0.08855766366372536,0.08855766366372536,0.11232096203693241,0.10855786911010899,0.08855766366372536,0.10855786911010899,0.10855786911010899,0.08855766366372536,0.08855766366372536,0.11232096203693241
37_001,290200,0.1752446588559614,0.09069951757408684,0.1752446588559614,0.1752446588559614,0.09069951757408684,0.09069951757408684,0.18815299793246038,0.1752446588559614,0.09069951757408684,0.1752446588559614,0.1752446588559614,0.09069951757408684,0.09069951757408684,0.18815299793246038
39_001,307656,0.12559807057232752,0.2014555217515667,0.12559807057232752,0.12559807057232752,0.2014555217515667,0.2014555217515667,0.20477416335127546,0.12559807057232752,0.2014555217515667,0.12559807057232752,0.12559807057232752,0.2014555217515667,0.2014555217515667,0.20477416335127546
31_001,292167,0.2605359263708769,0.22883145598236626,0.2605359263708769,0.2605359263708769,0.22883145598236626,0.22883145598236626,0.30110176714002607,0.2605359263708769,0.22883145598236626,0.2605359263708769,0.2605359263708769,0.22883145598236626,0.22883145598236626,0.30110176714002607
57_001,294929,0.006350681011362057,0.012440282237419853,0.006350681011362057,0.006350681011362057,0.012440282237419853,0.012440282237419853,0.012531829694604464,0.006350681011362057,0.012440282237419853,0.006350681011362057,0.006350681011362057,0.012440282237419853,0.012440282237419853,0.012531829694604464
44_001,297976,0.2812474830187666,0.2750020135849867,0.2812474830187666,0.2812474830187666,0.2750020135849867,0.2750020135849867,0.34813206432732835,0.2812474830187666,0.2750020135849867,0.2812474830187666,0.2812474830187666,0.2750020135849867,0.2750020135849867,0.34813206432732835
43_001,320991,0.1300503752441657,0.06950350632883788,0.1300503752441657,0.1300503752441657,0.06950350632883788,0.06950350632883788,0.1309320199008695,0.1300503752441657,0.06950350632883788,0.1300503752441657,0.1300503752441657,0.06950350632883788,0.06950350632883788,0.1309320199008695
36_001,285919,0.10961845837457462,0.3608574456401988,0.10961845837457462,0.10961845837457462,0.3608574456401988,0.3608574456401988,0.3695906882718532,0.10961845837457462,0.3608574456401988,0.10961845837457462,0.10961845837457462,0.3608574456401988,0.3608574456401988,0.3695906882718532
47_001,302929,0.07355849060340872,0.07604422158327528,0.07355849060340872,0.07355849060340872,0.07604422158327528,0.07604422158327528,0.08137550383093067,0.07355849060340872,0.07604422158327528,0.07355849060340872,0.07355849060340872,0.07604422158327528,0.07604422158327528,0.08137550383093067
59_001,303378,0.025295176314696518,0.02352840350981284,0.025295176314696518,0.025295176314696518,0.02352840350981284,0.02352840350981284,0.026827917647291498,0.025295176314696518,0.02352840350981284,0.025295176314696518,0.025295176314696518,0.02352840350981284,0.02352840350981284,0.026827917647291498
56_001,297363,0.45695328605105545,0.409879507537925,0.45695328605105545,0.45695328605105545,0.409879507537925,0.409879507537925,0.458335435141561,0.45695328605105545,0.409879507537925,0.45695328605105545,0.45695328605105545,0.409879507537925,0.409879507537925,0.458335435141561
