time,S1-D1,S1-D8,S1-D9,S1-D23,S2-D1,S2-D2,S2-D3,S2-D9,S2-D15,S3-D1,S3-D2,S3-D24,S4-D2,S4-D3,S4-D5,S4-D16,S5-D3,S5-D4,S5-D5,S5-D17,S6-D2,S6-D5,S6-D25,S7-D6,S7-D7,S7-D18,S8-D6,S8-D7,S8-D26,S9-D3,S9-D4,S9-D9,S9-D11,S9-D27,S10-D8,S10-D9,S10-D10,S10-D11,S10-D19,S11-D8,S11-D10,S11-D28,S12-D10,S12-D11,S12-D12,S12-D20,S13-D4,S13-D11,S13-D12,S13-D21,S14-D10,S14-D12,S14-D29,S15-D13,S15-D14,S15-D22,S16-D13,S16-D14,S16-D30,t_rel_s,eye_n,xp,yp,ps,xpl_i,xpr_i,ypl_i,ypr_i,psl_i,psr_i,blink_prop
616.3456,-0.141392531203609,0.0685589573092396,-0.0685589573118278,-0.676023765574884,1.03051258133872,-1.09092138714503,,0.319045664790701,,0.558788848671351,-0.566962896705281,-2.2027475736357,-2.20274757363803,-0.219444957638587,,,,0.297555393629537,,,-1.02743466937609,0.296876409125543,,-0.614776759050391,0.0417815789966634,,0.401678095312994,0.571914680321059,0.563919828866407,0.0220838792633927,0.563919828866754,,-0.611714102506162,-0.242532793573583,-0.636192904673875,0.636192904674066,-0.862159867290129,,,0.811106595815959,-0.529751651958938,-1.11579314859515,-0.893501115297402,0.131026008066111,,,-0.447387764565732,-0.403028452485673,,,2.82519785043323,0.0851650090484755,,-0.784646306675209,0.385565000284958,,0.208891408597917,0.516587414295008,0.458901796329274,414.3104,102,724.08431372549,338.852450980392,960.651960784314,760.954901960784,687.213725490196,333.519607843137,344.185294117647,904.892156862745,1016.41176470588,0
616.448,-0.161315252100054,0.0874667738854146,-0.0874667738880096,-0.687417849914987,1.01658878244052,-1.08789397262916,,0.29946735906033,,0.539639009861367,-0.561958297510766,-2.19773612080253,-2.19773612080487,-0.21772690557669,,,,0.268554691338857,,,-1.02411574346879,0.319615840688078,,-0.583033453637793,0.0436775717710924,,0.43915458429849,0.599807463999389,0.511224154035008,-0.0123885947871794,0.511224154035352,,-0.583411047954727,-0.266246484576573,-0.655615493410831,0.655615493411032,-0.862446991435356,,,0.804480985520717,-0.584426640327058,-1.14975101012171,-0.95135290405419,0.159881314689304,,,-0.428135910000976,-0.407252132857072,,,2.81156699139554,0.085009146187311,,-0.78275367673516,0.387705620885748,,0.203478087679314,0.573551057246707,0.490159250642163,414.4128,103,722.930097087379,329.867961165049,981.97572815534,760.618446601942,685.241747572816,322.219417475728,337.516504854369,933.097087378641,1030.85436893204,0
616.5504,-0.181369863449269,0.105174354338107,-0.10517435434071,-0.698632795677825,1.00106804325033,-1.08326844220674,,0.279778083958948,,0.520456285512561,-0.55699919642993,-2.18924577070695,-2.18924577070928,-0.214574371204816,,,,0.239362579180915,,,-1.01877212497368,0.341567597354988,,-0.551025984082758,0.0456332384584993,,0.475794865845288,0.626393157254991,0.457822869012627,-0.0462399525898016,0.457822869012965,,-0.555604661312014,-0.289962559935528,-0.675000021031757,0.675000021031965,-0.862671800970548,,,0.796620494514945,-0.638128748051865,-1.1816906069976,-1.0075768572928,0.188632790422958,,,-0.407907408117841,-0.411436494899301,,,2.7973941396059,0.0849080732491797,,-0.780080852573988,0.390169762140481,,0.197957772252356,0.62994176810153,0.521102077736412,414.5152,102,724.644117647059,332.817156862745,985.411764705882,763.133333333333,686.154901960784,325.051960784314,340.582352941176,945.549019607843,1025.27450980392,0
616.6528,-0.201530528405083,0.121680416576272,-0.121680416578884,-0.709656724058784,0.984021722493813,-1.0770749960563,,0.259998734542528,,0.50126163823724,-0.552088063523799,-2.17735536728972,-2.17735536729205,-0.210003279585653,,,,0.210008504635277,,,-1.01143265682334,0.362702199124427,,-0.518791803641549,0.0476575211869445,,0.511541750225838,0.651632962422502,0.403869251513326,-0.0794252561001439,0.403869251513661,,-0.528355204254329,-0.313676195060802,-0.694283993868313,0.694283993868525,-0.86283254507923,,,0.78760544175234,-0.690751992526515,-1.21158035731679,-1.06207532615653,0.217261837541752,,,-0.386739382988446,-0.41559943764359,,,2.78269060197506,0.0848759739181265,,-0.776684016782594,0.392971899801411,,0.192326957920869,0.685704690519204,0.55172232168326,414.6176,102,722.597549019608,340.729901960784,978.911764705882,763.103921568628,682.091176470588,342.302941176471,339.156862745098,949.725490196079,1008.09803921569,0
616.7552,-0.221773913053828,0.136986612993182,-0.136986612995807,-0.720476431906213,0.965523369106948,-1.06934833588899,,0.240148242574275,,0.482074700743134,-0.547226893552551,-2.16215098784472,-2.16215098784703,-0.204033514774417,,,,0.180520782437955,,,-1.00213060711351,0.3829918968066,,-0.486365620945683,0.0497605795878756,,0.546341928897691,0.67549262567568,0.349519468870157,-0.111899761674877,0.349519468870489,,-0.501719553522498,-0.337380354103529,-0.713403145309163,0.713403145309376,-0.862925684008022,,,0.777520929784996,-0.742191212031818,-1.23939284628491,-1.114753078163,0.245748221885289,,,-0.364670468694486,-0.419757492658297,,,2.76746755483846,0.0849261868098364,,-0.772618686373336,0.39612457452966,,0.186582286526174,0.740783059974301,0.582010156773524,414.72,103,721.230582524272,340.330582524272,974.815533980582,759.791262135922,682.669902912621,345.292233009709,335.368932038835,952.126213592233,997.504854368932,0
616.8576,-0.242079323965761,0.151097366771698,-0.151097366774333,-0.731077340529071,0.945648257072576,-1.06012735777822,,0.220243463154866,,0.462913642941277,-0.542417163907544,-2.1437253376279,-2.14372533763018,-0.196688752163306,,,,0.150926348119279,,,-0.990903330210263,0.402410933851944,,-0.453779150911719,0.0519537380982324,,0.580146334418673,0.697942679869406,0.294931877401803,-0.143619322863547,0.294931877402128,,-0.475750775177919,-0.36106568238081,-0.732291466679852,0.732291466680066,-0.862945871824194,,,0.766456466119106,-0.792342361333595,-1.26510480067186,-1.16551752146727,0.274070050337048,,,-0.341740560841007,-0.423925781953091,,,2.75173590530331,0.0850711076658633,,-0.767939162137091,0.399638302917884,,0.180720438345814,0.795118570375274,0.611953808892965,414.8224,102,719.903431372549,338.961764705882,966.803921568627,756.519607843137,683.287254901961,341.642156862745,336.28137254902,946.147058823529,987.460784313726,0
616.96,-0.262428770086286,0.164019727511603,-0.164019727514246,-0.741443449657048,0.924472963986162,-1.04945483969588,,0.200299132425039,,0.44379509009254,-0.53765978475127,-2.12217718318404,-2.12217718318632,-0.187996295834763,,,,0.121250552254933,,,-0.977791930702706,0.420935793424831,,-0.421060942820765,0.0542494297737801,,0.612910457400702,0.718958652449095,0.240266341139985,-0.174540781738397,0.240266341140307,,-0.450497770678465,-0.384720418140639,-0.750881237640149,0.75088123764036,-0.862885963786692,,,0.754505588120778,-0.841102835166959,-1.28869709086732,-1.21427896298395,0.302203765686125,,,-0.317990579608044,-0.428118009631547,,,2.73550615760977,0.0853220970105744,,-0.762698034118566,0.403521511932043,,0.174737994828665,0.848651764587913,0.641539528732765,414.9248,103,858.04854368932,343.033980582524,958.834951456311,885.155339805825,830.941747572816,343.709708737864,342.358252427184,938.203883495146,979.466019417476,0
617.0624,-0.282806965835988,0.175763238268569,-0.175763238271223,-0.751557301184098,0.902074993989806,-1.03737713280384,,0.180327876369922,,0.424734083885452,-0.532955052033259,-2.09761082964473,-2.09761082964701,-0.177986930023036,,,,0.0915170080848037,,,-0.962840938178878,0.438545421315401,,-0.388236278483362,0.0566611330007022,,0.644594621133746,0.7385212437093,0.185683571218112,-0.204622341256327,0.185683571218433,,-0.426004986737744,-0.408330326005205,-0.769103061574209,0.769103061574422,-0.862737054729208,,,0.741765482146179,-0.88837181722048,-1.31015475735617,-1.26095089712295,0.330124155035624,,,-0.293462252205561,-0.432346470477867,,,2.71878829840456,0.0856893940501806,,-0.75694575999057,0.407780496124639,,0.168631310718785,0.901322425038131,0.670751599743427,415.0272,102,1309.63970588235,361.55637254902,919.833333333333,1335.14019607843,1284.13921568627,358.325490196078,364.787254901961,898.568627450981,941.098039215686,0
617.1648,-0.303201295169476,0.18633980570437,-0.186339805707035,-0.76139996217874,0.878532436837038,-1.023943857192,,0.160340249608515,,0.405744072777032,-0.528302617300279,-2.07013563646364,-2.07013563646593,-0.166694779044656,,,,0.0617474885911953,,,-0.946098000336002,0.455221422624754,,-0.355327124234536,0.059203291131036,,0.67516421940588,0.756616479060059,0.131344478728662,-0.233823910519239,0.13134447872898,,-0.402312180525914,-0.431878660822355,-0.786885909365816,0.786885909366031,-0.862488551676296,,,0.72833658292435,-0.934050651256248,-1.32946705248182,-1.30545031859882,0.357804372477944,,,-0.268197918401181,-0.436622066034775,,,2.7015917129263,0.0861820391117996,,-0.75073032725149,0.412419396016186,,0.162396417309343,0.953069952611278,0.699572368776902,415.1296,102,1307.70098039216,370.125490196078,906.024509803922,1334.23725490196,1281.16470588235,371.187254901961,369.063725490196,881.245098039216,930.803921568628,0
617.2672,-0.323601751307026,0.195763568958425,-0.195763568961099,-0.77095103810161,0.85392365791256,-1.00920760102159,,0.14034478931575,,0.386836919081934,-0.523701486393869,-2.03986556334722,-2.03986556334953,-0.154157166138299,,,,0.0319618628493211,,,-0.927613603255217,0.470948233264183,,-0.322352120849004,0.0618912034650847,,0.704589925365252,0.77323583923315,0.0774095362492245,-0.262107413734688,0.0774095362495401,,-0.379454232387233,-0.455346170416409,-0.804157171492751,0.804157171492969,-0.862128278515692,,,0.71432214428869,-0.978043231466957,-1.34662748604963,-1.34769805216366,0.385215976679598,,,-0.242240357635197,-0.44095432887725,,,2.68392513942665,0.0868078051716074,,-0.744097000941557,0.417440193535707,,0.156028962570932,1.0038337270572,0.727982292430873,415.232,103,1278.70388349515,359.896116504854,898.684466019418,1306.84757281553,1250.56019417476,363.153398058252,356.638834951456,870.68932038835,926.679611650485,0
617.3696,-0.344000857620275,0.204050768686368,-0.204050768689048,-0.780188714696162,0.828327019212248,-0.993223624151289,,0.120348081014321,,0.368022919466854,-0.519150044483375,-2.00691873802225,-2.00691873802457,-0.140414472768568,,,,0.00217806625968542,,,-0.907440823901289,0.485713267670533,,-0.289326602286522,0.0647408890775553,,0.73284787316494,0.788376369684088,0.0240381452321224,-0.289437057499807,0.0240381452324355,,-0.357460997132876,-0.478711139865141,-0.820842720348141,0.820842720348361,-0.861642602990329,,,0.699827781333829,-1.02025641065029,-1.3616338686181,-1.38761909553066,0.412328984517438,,,-0.215632632136665,-0.445351456574968,,,2.66579666099009,0.0875731394343312,,-0.737088144452006,0.422842717654838,,0.149524184138912,1.05355344269265,0.755959996514798,415.3344,102,1277.23774509804,359.763725490196,892.28431372549,1307.11176470588,1247.3637254902,358.789215686275,360.738235294118,858.774509803922,925.794117647059,0
617.472,-0.364393567758395,0.211219621897086,-0.211219621899771,-0.789089807823107,0.801820630148332,-0.976049569032137,,0.100354844031069,,0.349310845093992,-0.51464608503358,-1.97141703494013,-1.97141703494248,-0.125510012431548,,,,-0.0275878962573505,,,-0.885635111751495,0.499507048633773,,-0.256262640230158,0.067768945333483,,0.759919801711783,0.802040763480456,-0.0286119971249758,-0.315779558325494,-0.028611997124666,,-0.336357184434309,-0.501949472419703,-0.836866993289924,0.836866993290147,-0.861016569895924,,,0.684960986880089,-1.06060042427092,-1.37448835334507,-1.42514297432087,0.439111946829798,,,-0.188417941321981,-0.449820347187926,,,2.64721372715343,0.0884831203294305,,-0.729743087294785,0.428624650040731,,0.142876902697791,1.10216941702927,0.783482348730912,415.4368,103,1274.96504854369,361.934951456311,879.73786407767,1305.29708737864,1244.63300970874,361.798058252427,362.071844660194,840.543689320388,918.932038834951,0
617.5744,-0.384777143379167,0.217290206616311,-0.217290206619001,-0.797629796083205,0.774482125373862,-0.957745182666509,,0.080368045146179,,0.330708008125655,-0.510186816567513,-1.93348565292121,-1.9334856529236,-0.109489928419125,,,,-0.0573219164252556,,,-0.86225409189772,0.512323329748279,,-0.223169115072598,0.0709924289679211,,0.785793144138721,0.814237407783893,-0.0803855354342341,-0.341104336198568,-0.0803855354339265,,-0.316162261338998,-0.525034796895869,-0.852153111076381,0.852153111076607,-0.860234026417726,,,0.669830620461395,-1.09898932287853,-1.38519747400259,-1.46020410203367,0.465532053670984,,,-0.160639489691413,-0.454366621494033,,,2.62818319693152,0.089541433635584,,-0.722098013267347,0.43478152213156,,0.136081521873886,1.14962287416268,0.810524542646735,415.5392,102,1276.08235294118,357.258823529412,851.862745098039,1305.98333333333,1246.18137254902,359.108823529412,355.408823529412,807.637254901961,896.088235294118,0
617.6768,-0.405151012633917,0.222284354785841,-0.222284354788536,-0.805782826799534,0.746388464789787,-0.938372050628138,,0.0603890403416982,,0.312220354170118,-0.505768839227166,-1.89325268577936,-1.89325268578177,-0.0924031048477476,,,,-0.0870117234301663,,,-0.837357383512431,0.524159217748875,,-0.190051814938819,0.0744287719388439,,0.810461053910462,0.824980386398536,-0.131130092382591,-0.36538367676438,-0.131130092382288,,-0.296890376436453,-0.547938593822089,-0.866623039070012,0.866623039070241,-0.859277737242898,,,0.654546364766098,-1.1353414006096,-1.39377216674389,-1.4927421300265,0.491555270507723,,,-0.132340377779858,-0.458994622080141,,,2.60871139870263,0.0907503620501056,,-0.714185857402924,0.441306704100028,,0.129132029362346,1.19585620400869,0.837060187334247,415.6416,102,1278.93382352941,354.53431372549,820.843137254902,1309.45098039216,1248.41666666667,356.521568627451,352.547058823529,774.617647058824,867.068627450981,0
617.7792,-0.425516616612274,0.226225546212412,-0.22622554621511,-0.813521706719937,0.717615741977191,-0.917993334926183,,0.040417735456006,,0.293852572509398,-0.501388105208236,-1.85084868816713,-1.85084868816957,-0.0743010647013973,,,,-0.116646806988652,,,-0.811006431974264,0.535015291329373,,-0.156913560531809,0.0780957222086971,,0.833922369614164,0.834289435712019,-0.180696896875681,-0.388592857690695,-0.180696896875381,,-0.278550311801848,-0.570630341994618,-0.880197789409244,0.880197789409477,-0.858129499476181,,,0.639218147133592,-1.16957961225741,-1.40022776114697,-1.52270227540108,0.517146500138464,,,-0.10356352422574,-0.463707389691252,,,2.58880420686586,0.0921107783203721,,-0.706036216545021,0.448191391923115,,0.122022004380071,1.24081319806094,0.863061396122392,415.744,103,1279.78834951456,351.372815533981,790.029126213592,1307.67475728155,1251.90194174757,352.927184466019,349.818446601942,744.52427184466,835.533980582524,0
617.8816,-0.445877251326178,0.229138794445888,-0.229138794448588,-0.820817897905879,0.688238979157005,-0.896673499668947,,0.0204527540314482,,0.275608212755943,-0.497039883703431,-1.80640624122403,-1.8064062412265,-0.055237830740729,,,,-0.146218331705247,,,-0.783264355226332,0.544895703836294,,-0.123754348178162,0.082011290319969,,0.856181526019992,0.842189854494829,-0.228941407221359,-0.410710231964739,-0.22894140722106,,-0.26114547041131,-0.593077694378643,-0.892797660889805,0.892797660890043,-0.856770270132637,,,0.623955528302934,-1.20163198215766,-1.40458393583155,-1.55003562738811,0.542269762836457,,,-0.0743516170699552,-0.46850662457263,,,2.56846713648547,0.0936221390350401,,-0.697675282764227,0.455424595274423,,0.114744638875739,1.28443926645652,0.888498870920515,415.8464,102,1280.12205882353,346.973529411765,772.916666666667,1308.36764705882,1251.87647058824,345.760784313726,348.186274509804,729.823529411765,816.009803921569,0
617.984,-0.466237905466701,0.231050521189477,-0.23105052119218,-0.827641531625976,0.658331895681839,-0.874478014885122,,0.000491608090942772,,0.257489802290113,-0.492718740464178,-1.76005952215209,-1.76005952215458,-0.0352697444584814,,,,-0.175719046252039,,,-0.754195802110955,0.553808258667978,,-0.0905715053542516,0.086193690061689,,0.877248419721691,0.84871237010665,-0.275723936780539,-0.431717267808896,-0.275723936780241,,-0.244673904471088,-0.615246690436963,-0.904342516685648,0.904342516685896,-0.855180311674792,,,0.608867066313086,-1.23143201310979,-1.40686464939548,-1.57469944331521,0.566888389261782,,,-0.0447470858847073,-0.47339264214083,,,2.54770545329611,0.0952824855910335,,-0.689125802410211,0.462993126460537,,0.107292773651734,1.32668164222446,0.913341985826216,415.9488,103,1278.9786407767,349.219902912621,759.907766990291,1307.50291262136,1250.45436893204,346.368932038835,352.070873786408,716.398058252427,803.417475728155,0
618.0864,-0.486605085708114,0.23198842375345,-0.231988423756157,-0.833961440201639,0.627966659415025,-0.851473047208161,,-0.0194691227371599,,0.239498968556501,-0.488418528966005,-1.71194388124907,-1.71194388125159,-0.0144552606094592,,,,-0.205143180206375,,,-0.72386681812254,0.561764451935109,,-0.057359864418077,0.0906612729926814,,0.897138237090693,0.853892966137985,-0.320910279526876,-0.451598552970145,-0.320910279526577,,-0.229128386224143,-0.637102002156412,-0.914752103746655,0.914752103746911,-0.853339352175369,,,0.594059671353243,-1.25891909890032,-1.4070980682422,-1.59665744612374,0.590965220745571,,,-0.0147920875312086,-0.478364329905638,,,2.52652429079591,0.0970884593223307,,-0.680407058916028,0.470881594625819,,0.0996589453381231,1.36748957342795,0.937558879594268,416.0512,102,1278.25980392157,352.623529411765,753.421568627451,1305.74803921569,1250.77156862745,349.694117647059,355.552941176471,710.725490196078,796.117647058824,0
